CLIENTNUM,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag,Gender_M,Education_Level_College,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
716751858,34.0,1.0,36.0,2.0,3.0,3.0,2401.0,496.0,1905.0,0.647,2597.0,40.0,0.379,0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
712829808,39.0,3.0,29.0,4.0,3.0,4.0,2187.0,0.0,2187.0,0.467,2031.0,40.0,0.333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
711900033,57.0,0.0,46.0,5.0,2.0,1.0,4661.0,1734.0,2927.0,0.789,5242.0,81.0,1.382,0.372,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
712566258,40.0,2.0,27.0,6.0,3.0,1.0,8494.0,2023.0,6471.0,0.871,4486.0,77.0,0.974,0.238,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
712732908,36.0,4.0,36.0,5.0,3.0,1.0,2262.0,1450.0,812.0,0.735,4116.0,84.0,0.787,0.641,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
717908208,43.0,3.0,36.0,6.0,1.0,2.0,2525.0,1595.0,930.0,0.78,4859.0,82.0,0.864,0.632,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
826136283,38.0,3.0,34.0,3.0,3.0,2.0,2450.0,1981.0,469.0,0.712,4352.0,66.0,0.784,0.809,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
778714833,36.0,4.0,18.0,4.0,3.0,2.0,3926.0,1760.0,2166.0,0.874,4890.0,92.0,0.704,0.448,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
779302233,40.0,4.0,22.0,4.0,2.0,3.0,1438.3,0.0,1438.3,0.695,2502.0,45.0,0.452,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
778659108,51.0,2.0,31.0,6.0,2.0,1.0,4789.0,2203.0,2586.0,0.847,4718.0,81.0,0.976,0.46,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
720374808,41.0,2.0,34.0,6.0,3.0,3.0,2864.0,1928.0,936.0,0.769,4641.0,78.0,0.66,0.673,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
719592483,43.0,5.0,34.0,6.0,6.0,3.0,4607.0,2440.0,2167.0,0.646,4825.0,77.0,0.878,0.53,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
714702033,43.0,4.0,34.0,5.0,3.0,3.0,1971.0,979.0,992.0,1.024,5446.0,75.0,0.974,0.497,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
717042333,53.0,2.0,44.0,3.0,3.0,3.0,1473.0,0.0,1473.0,0.92,2836.0,48.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
779122908,55.0,3.0,37.0,5.0,1.0,2.0,3187.0,1437.0,1750.0,0.79,4511.0,82.0,0.822,0.451,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
710676483,38.0,2.0,36.0,4.0,2.0,2.0,5589.0,0.0,5589.0,0.787,4064.0,77.0,0.711,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
827712108,42.0,5.0,38.0,5.0,1.0,2.0,2346.0,1373.0,973.0,0.73,4432.0,72.0,0.756,0.585,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
769200858,34.0,4.0,28.0,3.0,2.0,3.0,1438.3,0.0,1438.3,0.726,4626.0,86.0,0.792,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
779114283,40.0,5.0,22.0,3.0,1.0,2.0,1826.0,944.0,882.0,0.686,4528.0,65.0,0.667,0.517,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
771061008,40.0,2.0,27.0,4.0,2.0,3.0,2208.0,0.0,2208.0,0.695,2659.0,56.0,0.806,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
716201133,35.0,2.0,36.0,4.0,3.0,1.0,1476.0,0.0,1476.0,0.592,4279.0,76.0,0.767,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
817968783,51.0,3.0,46.0,6.0,3.0,1.0,2927.0,1499.0,1428.0,0.649,4670.0,70.0,0.944,0.512,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
826480308,53.0,3.0,49.0,5.0,2.0,1.0,4778.0,1869.0,2909.0,0.743,5489.0,74.0,0.805,0.391,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
720307683,43.0,4.0,36.0,3.0,2.0,2.0,1438.3,743.0,695.3,0.624,4484.0,78.0,0.625,0.517,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
709618308,46.0,3.0,40.0,4.0,3.0,1.0,16239.0,1487.0,14752.0,0.531,3838.0,48.0,0.6,0.092,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
710119233,37.0,1.0,26.0,5.0,2.0,1.0,11726.0,1925.0,9801.0,0.855,4186.0,63.0,0.703,0.164,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
789419658,47.0,4.0,38.0,3.0,2.0,1.0,1438.3,0.0,1438.3,0.68,4503.0,89.0,0.978,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
789800358,45.0,3.0,34.0,6.0,1.0,3.0,2647.0,1288.0,1359.0,0.765,4730.0,78.0,0.857,0.487,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
715466133,50.0,1.0,40.0,3.0,3.0,1.0,2492.0,1410.0,1082.0,0.835,4374.0,75.0,0.974,0.566,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
717659883,46.0,2.0,36.0,3.0,3.0,3.0,2418.0,1106.0,1312.0,0.963,3541.0,64.0,0.882,0.457,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
781942983,50.0,1.0,44.0,5.0,3.0,1.0,17827.0,0.0,17827.0,0.846,5010.0,88.0,0.725,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
712755783,49.0,1.0,40.0,3.0,2.0,3.0,1438.3,0.0,1438.3,0.675,3886.0,77.0,0.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
779551533,54.0,3.0,39.0,4.0,3.0,3.0,1764.0,0.0,1764.0,0.651,4857.0,92.0,0.804,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
714405183,47.0,3.0,36.0,4.0,2.0,2.0,1776.0,1519.0,257.0,0.917,4295.0,60.0,0.622,0.855,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
801783108,46.0,3.0,40.0,6.0,3.0,3.0,1438.3,0.0,1438.3,0.681,4833.0,69.0,0.769,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
779839758,47.0,2.0,31.0,3.0,2.0,3.0,1491.0,0.0,1491.0,0.716,4634.0,92.0,0.804,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
820648608,46.0,2.0,41.0,3.0,1.0,3.0,2552.0,1879.0,673.0,0.888,4153.0,79.0,0.795,0.736,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
787587033,42.0,4.0,32.0,3.0,1.0,2.0,2996.0,1992.0,1004.0,0.948,4463.0,87.0,0.74,0.665,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
813967983,44.0,2.0,39.0,4.0,1.0,2.0,1701.0,775.0,926.0,0.847,4471.0,71.0,0.614,0.456,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
718067658,53.0,3.0,40.0,6.0,3.0,1.0,3998.0,0.0,3998.0,0.638,4223.0,79.0,0.717,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
709952658,46.0,3.0,33.0,6.0,3.0,2.0,3025.0,2491.0,534.0,0.45,4460.0,62.0,0.722,0.823,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
720824883,48.0,1.0,40.0,3.0,1.0,2.0,3251.0,2517.0,734.0,0.739,2483.0,50.0,0.471,0.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
789631908,51.0,4.0,45.0,3.0,1.0,2.0,3031.0,1787.0,1244.0,1.006,4690.0,85.0,0.7,0.59,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
789089958,57.0,2.0,45.0,5.0,2.0,3.0,33211.0,0.0,33211.0,0.732,3662.0,81.0,0.761,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
715847058,59.0,2.0,36.0,3.0,3.0,3.0,1863.0,1853.0,10.0,0.829,2462.0,40.0,0.29,0.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
721256808,35.0,2.0,20.0,6.0,1.0,2.0,2691.0,1935.0,756.0,0.681,4365.0,86.0,0.911,0.719,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
721269108,45.0,5.0,33.0,5.0,3.0,3.0,2288.0,1249.0,1039.0,0.605,4504.0,87.0,0.706,0.546,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
712770408,42.0,2.0,36.0,6.0,3.0,2.0,3413.0,0.0,3413.0,0.593,2285.0,40.0,0.429,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
767958933,40.0,4.0,34.0,3.0,2.0,1.0,15471.0,1291.0,14180.0,0.651,3993.0,77.0,0.674,0.083,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
779866458,40.0,5.0,24.0,6.0,1.0,1.0,2038.0,793.0,1245.0,0.682,3513.0,67.0,0.634,0.389,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
721246833,47.0,3.0,36.0,6.0,2.0,3.0,1953.0,1089.0,864.0,0.859,4636.0,70.0,0.707,0.558,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
710752233,43.0,5.0,24.0,3.0,2.0,2.0,4430.0,2203.0,2227.0,1.046,2742.0,49.0,0.4,0.497,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
709813008,44.0,3.0,35.0,5.0,3.0,0.0,3398.0,2415.0,983.0,0.891,4509.0,93.0,0.661,0.711,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
710219658,48.0,3.0,44.0,4.0,3.0,3.0,2021.0,1186.0,835.0,0.616,4633.0,74.0,0.574,0.587,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
789121233,53.0,2.0,41.0,5.0,1.0,3.0,2329.0,2290.0,39.0,0.533,4609.0,76.0,0.767,0.983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
715146558,34.0,2.0,36.0,1.0,3.0,2.0,1696.0,0.0,1696.0,0.782,2325.0,56.0,0.556,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
720205608,52.0,1.0,36.0,6.0,1.0,1.0,4222.0,0.0,4222.0,0.523,4487.0,77.0,1.081,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
778606308,45.0,3.0,25.0,2.0,2.0,3.0,6614.0,1881.0,4733.0,0.737,3016.0,51.0,0.645,0.284,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
710438358,42.0,1.0,35.0,4.0,3.0,3.0,3241.0,0.0,3241.0,0.442,2152.0,43.0,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
712562433,48.0,2.0,30.0,3.0,3.0,3.0,4204.0,0.0,4204.0,0.703,2316.0,43.0,0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
718186233,34.0,3.0,26.0,4.0,2.0,3.0,3234.0,971.0,2263.0,0.79,3989.0,71.0,0.868,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
713717283,40.0,3.0,29.0,3.0,3.0,3.0,2473.0,2332.0,141.0,0.293,1738.0,32.0,0.455,0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
713822208,42.0,2.0,33.0,3.0,3.0,3.0,4836.0,493.0,4343.0,0.417,1870.0,45.0,0.406,0.102,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
710466633,55.0,3.0,44.0,5.0,1.0,1.0,1438.3,0.0,1438.3,0.575,4755.0,76.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
711153783,44.0,3.0,36.0,5.0,3.0,1.0,1438.3,541.0,897.3,0.821,4173.0,70.0,1.188,0.376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
718230933,45.0,4.0,36.0,5.0,2.0,3.0,1438.3,1060.0,378.3,0.301,1253.0,29.0,0.318,0.737,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
788885133,57.0,3.0,42.0,6.0,1.0,1.0,12675.0,2422.0,10253.0,0.642,3912.0,63.0,0.575,0.191,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
711637458,44.0,3.0,36.0,2.0,3.0,3.0,2228.0,0.0,2228.0,0.686,2523.0,45.0,0.607,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
719532108,40.0,5.0,31.0,4.0,2.0,2.0,2813.0,2208.0,605.0,0.877,4491.0,68.0,0.744,0.785,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
757643733,42.0,2.0,35.0,6.0,3.0,2.0,3223.0,0.0,3223.0,0.593,4916.0,79.0,0.717,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
715122858,55.0,2.0,36.0,5.0,3.0,3.0,2653.0,0.0,2653.0,0.969,5052.0,81.0,0.761,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
708384033,45.0,3.0,35.0,3.0,3.0,3.0,2745.0,2463.0,282.0,0.643,2466.0,39.0,0.345,0.897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
708273858,40.0,3.0,30.0,3.0,2.0,1.0,34516.0,0.0,34516.0,0.643,3734.0,80.0,0.86,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
803952408,52.0,3.0,47.0,6.0,3.0,2.0,2516.0,1486.0,1030.0,0.503,3987.0,77.0,0.54,0.591,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
